Item_Code,Item
Spices,jeera (gm)
Spices,dhania (gm)
Spices,turmeric (gm)
Spices,black pepper (gm)
Spices,dry chillies (gm)
Spices,tamarind (gm)
Spices,curry powder (gm)
Spices,oilseeds (gm)
"Prepared meals, snacks, sweets etc",tea: cups (no.)
"Prepared meals, snacks, sweets etc",coffee: cups (no.)
"Prepared meals, snacks, sweets etc",cooked meals purchased (no.)
"Prepared meals, snacks, sweets etc","cooked snacks purchased [samosa, puri, paratha, burger, chowmein, idli, dosa, vada, chops, pakoras, pao bhaji, etc.]"
"Prepared meals, snacks, sweets etc","prepared sweets, cake, pastry"
"Prepared meals, snacks, sweets etc","papad, bhujia, namkeen, mixture, chanachur"
"Prepared meals, snacks, sweets etc",other packaged processed food
Non-alcoholic beverages,tea: leaf (gm)
Non-alcoholic beverages,coffee: powder (gm)
Non-alcoholic beverages,mineral water (litre)
Non-alcoholic beverages,cold beverages: bottled/canned (litre)
Non-alcoholic beverages,fruit juice and shake (litre)
Non-alcoholic beverages,"other beverages: cocoa, chocolate, etc."
"Pan, tobacco and intoxicants",country liquor (litre)
"Pan, tobacco and intoxicants",foreign/refined liquor or wine (litre)
"Pan, tobacco and intoxicants",toddy (litre)
"Pan, tobacco and intoxicants",beer (litre)
"Pan, tobacco and intoxicants",other intoxicants
"Pan, tobacco and intoxicants",pan: leaf (no.)
"Pan, tobacco and intoxicants",pan: finished (no.)
"Pan, tobacco and intoxicants",ingredients for pan (gm)
"Pan, tobacco and intoxicants",bidi (no.)
"Pan, tobacco and intoxicants",cigarettes (no.)
"Pan, tobacco and intoxicants",leaf tobacco (gm)
"Pan, tobacco and intoxicants",snuff (gm)
"Pan, tobacco and intoxicants",hookah tobacco (gm)
"Pan, tobacco and intoxicants",cheroot (no.)
"Pan, tobacco and intoxicants","zarda, kimam, surti (gm)"
"Pan, tobacco and intoxicants",other tobacco products
Clothing,dhoti (no.)
Clothing,saree (no.)
Clothing,"shawl, chaddar (no.)"
Clothing,lungi (no.)
Clothing,kurta-pajama suits: males (no.)
Clothing,"shirts, T-shirts (no.)"
Clothing,"shorts, trousers, bermudas (no.)"
Clothing,"baniyan, socks, other hosiery and undergarments, etc.(no.)"
Clothing,kurta-pajama suits: females (no.)
Clothing,"frocks, skirts, etc. (no.)"
Clothing,school/college uniform: boys
Clothing,school/college uniform: girls
Clothing,"coat, jacket, sweater, windcheater (no.)"
Clothing,knitting wool (gm)
Clothing,"cloth for shirt, pyjama, kurta, salwar, etc. (metre)"
Clothing,"cloth for coat, trousers, suit, etc. (metre)"
Clothing,clothing (first-hand): other
Clothing,clothing: second-hand
Clothing,"gamchha, towel, handkerchief (no.)"
Clothing,"headwear, belts, ties (no.)"
Clothing,"washerman, laundry, ironing"
Clothing,tailor
Footwear,"leather boots, shoes"
Footwear,"leather sandals, chappals, etc."
Footwear,other leather footwear
Footwear,rubber / PVC footwear
Footwear,other footwear
Housing,"house rent, garage rent"
Housing,residential building & land (cost of repairs only)
Housing,water charges
Housing,watch man charges (other cons taxes)
Fuel and light,electricity (std. unit)
Fuel and light,LPG [excl. conveyance]
Fuel and light,kerosene – PDS (litre)
Fuel and light,kerosene – other sources (litre)
Fuel and light,diesel (litre) [excl. conveyance]
Fuel and light,other fuel
Fuel and light,coke
Fuel and light,firewood and chips
Fuel and light,coal
Fuel and light,charcoal
Fuel and light,dung cake
Household goods and services,bedstead
Household goods and services,"almirah, dressing table"
Household goods and services,"chair, stool, bench, table"
Household goods and services,"other furniture & fixtures (couch, sofa, etc.)"
Household goods and services,bathroom and sanitary equipment
Household goods and services,"carpet, daree & other floor mattings"
Household goods and services,"bed sheet, bed cover (no.)"
Household goods and services,"rug, blanket (no.)"
Household goods and services,"pillow, quilt, mattress (no.)"
Household goods and services,"cloth for upholstery, curtains, tablecloth, etc. (metre)"
Household goods and services,mosquito net (no.)
Household goods and services,bedding: others
Household goods and services,"air conditioner, air cooler"
Household goods and services,inverter
Household goods and services,sewing machine
Household goods and services,washing machine
Household goods and services,"stove, gas burner"
Household goods and services,refrigerator
Household goods and services,electric fan
Household goods and services,water purifier
Household goods and services,"electric iron, heater, toaster, oven & other electric heating appliances"
Household goods and services,other cooking/ household appliances
Household goods and services,other durables (specify)….
Household goods and services,stainless steel utensils
Household goods and services,pressure cooker/ pressure pan
Household goods and services,other metal utensils
Household goods and services,other crockery & utensils
Household goods and services,earthenware
Household goods and services,glassware
Household goods and services,"electric bulb, tubelight"
Household goods and services,"plugs, switches & other electrical fittings"
Household goods and services,electric batteries
Household goods and services,torch
Household goods and services,lock
Household goods and services,"bucket, water bottle/ feeding bottle & other plastic goods"
Household goods and services,"coir, rope, etc."
Household goods and services,washing soap/soda/powder
Household goods and services,other washing requisites
Household goods and services,"incense (agarbatti), room freshener"
Household goods and services,flower (fresh): all purposes
Household goods and services,"mosquito repellent, insecticide, acid etc."
Household goods and services,matches (box)
Household goods and services,candle (no.)
Household goods and services,other petty articles
Household goods and services,domestic servant/cook
Household goods and services,sweeper
Household goods and services,Monthly Maintainance charges
Household goods and services,other consumer services excluding conveyance
Health,hospital & nursing home charges
Health,medicine (non-institutional)
Health,family planning devices
Health,spectacles
Health,other medical expenses (non-institutional)
Health,doctor’s/ surgeon’s fee-first consultation (non-institutional)
Health,"X-ray, ECG, pathological test, etc. (non-institutional)"
Transport and communication,"motor car, jeep"
Transport and communication,"motor cycle, scooter"
Transport and communication,bicycle(without accessories)
Transport and communication,tyres & tubes
Transport and communication,petrol for vehicle
Transport and communication,diesel for vehicle
Transport and communication,lubricants & other fuels for vehicle
Transport and communication,other conveyance expenses
Transport and communication,railway fare
Transport and communication,bus/tram fare
Transport and communication,"taxi, auto-rickshaw fare"
Transport and communication,rickshaw (hand drawn & cycle) fare
Transport and communication,horse cart fare
Transport and communication,"school bus, van, etc."
Transport and communication,air fare (normal): economy class(adult)
Transport and communication,"steamer, boat fare"
Transport and communication,porter charges
Transport and communication,mobile handset
Transport and communication,telephone charges: landline*
Transport and communication,telephone charges: mobile
Transport and communication,internet expenses
Recreation and amusement,"radio, tape recorder, 2-in-1"
Recreation and amusement,television
Recreation and amusement,VCR/VCD/DVD player
Recreation and amusement,camera & photographic equipment
Recreation and amusement,PC/ Laptop/ other peripherals incl. software
Recreation and amusement,"CD, DVD, audio/video cassette, etc"
Recreation and amusement,goods for recreation and hobbies
Recreation and amusement,"sports goods, toys, etc."
Recreation and amusement,"newspapers, periodicals"
Recreation and amusement,photography
Recreation and amusement,VCD/ DVD hire (incl. instrument)
Recreation and amusement,cinema: new release(normal day)
Recreation and amusement,monthly charges for cable TV connection
Recreation and amusement,library charges
Recreation and amusement,other entertainment
Recreation and amusement,club fees
Recreation and amusement,hotel lodging charges
Education,"books, journals: first hand"
Education,"stationery, photocopying charges"
Education,"tuition and other fees (school, college, etc.)"
Education,private tutor/ coaching centre
Education,other educational expenses (incl. fees for enrollment in web-based training)
Personal care and effects,toilet soap
Personal care and effects,"toothpaste, toothbrush, comb, etc."
Personal care and effects,"powder, snow, cream, lotion and perfume"
Personal care and effects,"hair oil, shampoo, hair cream"
Personal care and effects,"shaving blades, shaving stick, razor"
Personal care and effects,"shaving cream, aftershave lotion"
Personal care and effects,sanitary napkins
Personal care and effects,"clock, watch"
Personal care and effects,"suitcase, trunk, box, handbag and other travel goods"
Personal care and effects,"umbrella, raincoat"
Personal care and effects,lighter (bidi/ cigarette/ gas stove)
Personal care and effects,any other personal goods
Personal care and effects,gold
Personal care and effects,silver
Personal care and effects,other ornaments
Personal care and effects,"barber, beautician, etc."
